channel_id,video_id,title,published_at,duration,view_count,like_count,comment_count
UCdkv2W-p3wEK5REQHfu7OKA,ned5H6YBgRg,제9차 최고위원회의｜2024년 6월 7일｜개혁신당TV,2024-06-07T00:51:24Z,0h 18m 50s,2203,248,26
UCdkv2W-p3wEK5REQHfu7OKA,9GMhHixpQP8,"박일병님, 지켜드리지 못해 죄송합니다",2024-06-06T05:18:10Z,0h 0m 30s,3696,375,24
UCdkv2W-p3wEK5REQHfu7OKA,KRmEApiMpjk,제8차 최고위원회의｜2024년 6월 5일｜개혁신당TV,2024-06-05T13:03:32Z,0h 53m 46s,2740,287,12
UCdkv2W-p3wEK5REQHfu7OKA,zFaImf2udM0,제7차 최고위원회의｜2024년 6월 3일｜개혁신당TV,2024-06-03T00:59:25Z,0h 25m 46s,4072,416,43
UCdkv2W-p3wEK5REQHfu7OKA,7RsN3JnsoJA,제1차 전·현직의원 및 최고위원 연석회의｜2024년 5월 31일｜개혁신당TV,2024-05-31T15:05:41Z,0h 29m 55s,4380,444,52
UCdkv2W-p3wEK5REQHfu7OKA,y2bQwyTt1To,제5차 대구 현장최고위원회의｜2024년 5월 29일｜개혁신당TV,2024-05-29T12:23:20Z,0h 26m 9s,3077,285,38
UCdkv2W-p3wEK5REQHfu7OKA,Q_fVb5N4HuA,채상병특검법 관련 긴급 의원 및 당선인 총회｜2024년 5월 28일｜개혁신당TV,2024-05-28T00:14:47Z,0h 10m 16s,3417,330,24
UCdkv2W-p3wEK5REQHfu7OKA,7XQUTUrh_Vw,제4차 개혁신당 최고위원회의｜2024년 5월 27일｜개혁신당TV,2024-05-27T01:00:35Z,0h 24m 51s,5738,523,48
UCdkv2W-p3wEK5REQHfu7OKA,fdOUU01kCMo,제3차 개혁신당 최고위원회의｜2024년 5월 24일｜개혁신당TV,2024-05-24T12:58:15Z,0h 18m 40s,4880,422,67
UCdkv2W-p3wEK5REQHfu7OKA,ZWoEWfgO4bA,제2차 개혁신당 최고위원회의｜2024년 5월 22일｜개혁신당TV,2024-05-22T00:53:35Z,0h 14m 8s,3588,263,104
UCdkv2W-p3wEK5REQHfu7OKA,gl-6Cso59tY,제1차 개혁신당 최고위원회의｜2024년 5월 20일｜개혁신당TV,2024-05-20T00:43:53Z,0h 9m 5s,3619,397,51
UCdkv2W-p3wEK5REQHfu7OKA,aOuz1L_ft2A,개혁신당 제1차 전당대회 당대표 및 최고위원 선출｜2024년 5월 19일｜개혁신당TV,2024-05-19T07:31:36Z,2h 38m 11s,22373,1218,48
UCdkv2W-p3wEK5REQHfu7OKA,pvpnQS0aC2w,개혁신당 제1차 전당대회 서울.인천.경기.강원 합동연설회｜2024년 5월 19일｜개혁신당TV,2024-05-19T03:41:56Z,2h 48m 28s,11814,723,11
UCdkv2W-p3wEK5REQHfu7OKA,NrwYufWQPD8,개혁신당 제1차 전당대회 대구.부산.울산.경상 합동연설회｜2024년 5월 12일｜개혁신당TV,2024-05-12T08:26:30Z,3h 29m 19s,14610,851,23
UCdkv2W-p3wEK5REQHfu7OKA,-OV7UT7br-Q,개혁신당 제1차 전당대회 광주.전라.제주 합동연설회｜2024년 5월 11일｜개혁신당TV,2024-05-11T08:07:56Z,3h 26m 55s,13693,800,42
UCdkv2W-p3wEK5REQHfu7OKA,fTTHMmKK3ds,제26차 개혁신당 최고위원회의｜2024년 5월 10일｜개혁신당TV,2024-05-10T00:48:32Z,0h 13m 5s,1485,214,9
UCdkv2W-p3wEK5REQHfu7OKA,HwmGJfYNpzw,개혁신당 제1차 전당대회 대전.충청.세종 합동연설회｜2024년 5월 8일｜개혁신당TV,2024-05-08T08:24:53Z,3h 17m 30s,10944,796,61
UCdkv2W-p3wEK5REQHfu7OKA,moyJ_FHMw5A,제25차 개혁신당 최고위원회의｜2024년 5월 7일｜개혁신당TV,2024-05-07T00:49:52Z,0h 10m 57s,1272,188,7
UCdkv2W-p3wEK5REQHfu7OKA,1V6JG4JjQmE,제24차 개혁신당 최고위원회의｜2024년 5월 3일｜개혁신당TV,2024-05-03T12:44:21Z,0h 11m 11s,1437,160,7
UCdkv2W-p3wEK5REQHfu7OKA,Wh63FzvV6Dg,개혁신당 당대표 후보｜기호5 조대원｜후보자 소개 영상｜개혁신당TV,2024-05-03T09:07:07Z,0h 2m 52s,4240,94,24
UCdkv2W-p3wEK5REQHfu7OKA,8kzkG1ITcAc,개혁신당 당대표 후보｜기호4 허은아｜후보자 소개 영상｜개혁신당TV,2024-05-03T09:06:52Z,0h 3m 0s,4097,107,17
UCdkv2W-p3wEK5REQHfu7OKA,HQlN-k04QNY,개혁신당 당대표 후보｜기호3 이기인｜후보자 소개 영상｜개혁신당TV,2024-05-03T09:06:49Z,0h 3m 1s,4102,179,19
UCdkv2W-p3wEK5REQHfu7OKA,wAFPLmUMnuw,개혁신당 당대표 후보｜기호2 천강정｜후보자 소개 영상｜개혁신당TV,2024-05-03T09:05:13Z,0h 1m 43s,2410,51,16
UCdkv2W-p3wEK5REQHfu7OKA,oclpBT-kxns,개혁신당 당대표 후보｜기호1 전성균｜후보자 소개 영상｜개혁신당TV,2024-05-03T09:04:24Z,0h 2m 32s,2880,127,7
